stim,id,age,AUC_sal,AUC_dist,age_group,precision,watched,age_years
Plane,71,1504,0.55935,0.57626,4-6 y,1.728571429,No,4.117727583846681
Dogs,71,1504,0.62881,0.5702,4-6 y,1.728571429,No,4.117727583846681
Feist,72,826,0.58049,0.62247,2-4 y,1.942857143,No,2.2614647501711156
Pentatonix,72,826,0.56833,0.60797,2-4 y,1.942857143,No,2.2614647501711156
Science,72,826,0.61234,0.62913,2-4 y,1.942857143,No,2.2614647501711156
Plane,72,826,0.63492,0.6632,2-4 y,1.942857143,Not Sure,2.2614647501711156
Dogs,72,826,0.56631,0.52865,2-4 y,1.942857143,No,2.2614647501711156
Feist,73,1590,0.58766,0.71148,4-6 y,1.507142857,No,4.353182751540041
Pentatonix,73,1590,0.60114,0.64138,4-6 y,1.507142857,Yes,4.353182751540041
Science,73,1590,0.61051,0.51855,4-6 y,1.507142857,No,4.353182751540041
Plane,73,1590,0.53381,0.51305,4-6 y,1.507142857,Yes,4.353182751540041
Dogs,73,1590,0.59536,0.53393,4-6 y,1.507142857,Not Sure,4.353182751540041
Feist,74,610,0.61429,0.59013,1.5-2 y,1.81,Yes,1.6700889801505818
Plane,74,610,0.51155,0.5823,1.5-2 y,1.81,No,1.6700889801505818
Dogs,74,610,0.65744,0.64679,1.5-2 y,1.81,No,1.6700889801505818
Feist,76,2076,0.58838,0.71585,4-6 y,1.178571429,No,5.683778234086242
Pentatonix,76,2076,0.56239,0.68452,4-6 y,1.178571429,No,5.683778234086242
Science,76,2076,0.63226,0.63417,4-6 y,1.178571429,No,5.683778234086242
Plane,76,2076,0.56535,0.59899,4-6 y,1.178571429,No,5.683778234086242
Dogs,76,2076,0.56153,0.54234,4-6 y,1.178571429,No,5.683778234086242
Feist,77,2401,0.61965,0.70777,4-6 y,1.514285714,No,6.573579739904175
Pentatonix,77,2401,0.55287,0.62583,4-6 y,1.514285714,No,6.573579739904175
Science,77,2401,0.54644,0.54056,4-6 y,1.514285714,No,6.573579739904175
Plane,77,2401,0.59503,0.49934,4-6 y,1.514285714,No,6.573579739904175
Dogs,77,2401,0.57831,0.54442,4-6 y,1.514285714,No,6.573579739904175
Feist,78,198,0.50675,0.44941,.5-1 y,1.985714286,No,0.5420944558521561
Pentatonix,78,198,0.57668,0.57997,.5-1 y,1.985714286,No,0.5420944558521561
Science,78,198,0.75457,0.8213,.5-1 y,1.985714286,No,0.5420944558521561
Plane,78,198,0.61133,0.55452,.5-1 y,1.985714286,No,0.5420944558521561
Dogs,78,198,0.49372,0.48506,.5-1 y,1.985714286,No,0.5420944558521561
